Timestamp,Lo primero: donde cursas la MAYORIA de tus clases?,¿En que horario cursas esa mayoría?,¿Qué medio de transporte  usás para llegar a la sede la mayoría de las veces?,Caminando...,En bici...,En moto...,En bondi...,¿Qué líneas tomás?,En tren...,¿Que líneas de tren tomás?,En auto...,"En remis, Uber, etc...",En combi...,¿Qué otro medio de transporte  usás para llegar a las sedes?,Caminando...,En bici...,En moto...,En bondi...,¿Qué líneas tomás?,En tren...,¿Que líneas de tren tomás?,En auto...,"En remis, Uber, etc...",En combi...,"Para finalizar, moverte hacia/desde la Universidad, te hizo considerar alguna de las siguientes opciones?"
26/05/2026 13:42:05,Sede Pellegrini,Mixto: Tengo clases en varios turnos miti miti,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo, ... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal, ... no respetan horarios",276,,,,,,No uso otro medio de transporte,,,,,,,,,,,"Tengo que mudarme más cerca de las sedes, Necesito salir antes de casa, Tengo que comentarlo con mi coordinador/profes, No voy a poder seguir cursando"
26/05/2026 09:40:22,Sede Pellegrini,Turno Tarde,Voy en auto (propio o me llevan/traen),,,,,,,,No tengo ningun problema hasta este momento,,,Voy caminando,ninguno,,,,,,,,,,
26/05/2026 09:42:22,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... el tránsito por zonas es peligroso  (riesgo de accidentes), ... me lleva mucho tiempo, ... me lleva mucho presupuesto, ... no respetan horarios, ... no tienen carteles claros, Yo no uso el boleto universitario municipal por que vivo en lujan y uso el 276 ",276,,,,,,No uso otro medio de transporte,,,,,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Necesito salir antes de casa, Tengo que evitar -tal zona- en -tal horario-"
26/05/2026 08:18:01,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo, ... no me reconocen el boleto universitario municipal",,,,,,,No uso otro medio de transporte,,,,,,,,,,,Necesito salir antes de casa
26/05/2026 10:51:55,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... no me reconocen el boleto universitario municipal",510 y 501/503,,,,,,Voy en auto (propio o me llevan/traen),,,,,,,,... me lleva mucho presupuesto,,,Necesito salir antes de casa
26/05/2026 15:23:52,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... no me reconocen el boleto universitario municipal, ... no respetan horarios, ... no tienen carteles claros, ... no respetan paradas/recorridos",510,,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,... me lleva mucho presupuesto,,"Tengo que conseguir trabajo, es muy caro viajar, Tengo que evitar -tal zona- en -tal horario-"
26/05/2026 09:48:58,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,... no respetan horarios,510,,,,,,Voy en colectivo,,,,... no respetan horarios,510,,,,,,Necesito salir antes de casa
26/05/2026 08:06:15,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal",350,,,,,,No uso otro medio de transporte,,,,,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Voy a pedir prestado para poder seguir viniendo este mes"
26/05/2026 09:51:58,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo, ... no respetan horarios, ... no respetan paradas/recorridos",276,,,,,,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo, ... me lleva mucho presupuesto, ... no respetan horarios",276,,,,,,"Voy a pedir prestado para poder seguir viniendo este mes, Necesito salir antes de casa"
26/05/2026 09:55:04,Sede Pellegrini,Turno Mañana,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,"... me lleva mucho presupuesto, No hay medios de transporte públicos que conecten mí zona ( la lonja) con la zona de la universidad.",,Voy en bici,,,,,,,,,,,"Tengo que mudarme más cerca de las sedes, Necesito salir antes de casa"
26/05/2026 09:01:37,Sede Pellegrini,Mixto: Tengo clases en varios turnos miti miti,Voy en colectivo,,,,"... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal","Cualquier linea que pase por ahí, la más rápida siempre es 501 o 276",,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,... me lleva mucho presupuesto,,"Tengo que conseguir trabajo, es muy caro viajar, Necesito salir antes de casa, Tengo que evitar -tal zona- en -tal horario-"
26/05/2026 10:16:37,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,... tuve experiencias de episodios de violencia/acoso hacia mi persona,502/501,,,,,,Voy en tren,,,,,,... me lleva mucho presupuesto,Tren belgrano norte,,,,Voy a pedir prestado para poder seguir viniendo este mes
26/05/2026 10:21:23,Sede Pellegrini,Turno Mañana,Voy caminando,... me lleva mucho tiempo,,,,,,,,,,Voy en colectivo,,,,... me lleva mucho presupuesto,291 o 203,,,,,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 09:13:36,Sede Pellegrini,Turno Tarde,Voy en colectivo,,,,"... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal","276,513,60,194",,,,,,No uso otro medio de transporte,,,,,,,,,,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 10:22:30,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... me lleva mucho presupuesto, ... no respetan horarios, ... no tienen carteles claros, ... no respetan paradas/recorridos","510,520 y 276",,,,,,Voy en colectivo,,,,"... no respetan horarios, ... no tienen carteles claros","510,520, y 276",,,,,,"Tengo que conseguir trabajo, es muy caro viajar, Voy a pedir prestado para poder seguir viniendo este mes, Necesito salir antes de casa"
26/05/2026 09:51:21,Sede Pellegrini,Turno Noche,Voy en colectivo,,,,"... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal","203,276",,,,,,Voy en auto (propio o me llevan/traen),,,,,,,,... me lleva mucho presupuesto,,,"Tengo que conseguir trabajo, es muy caro viajar"
26/05/2026 10:23:15,Sede Pellegrini,Turno Tarde,Voy en bici,,"Me lleva bastante tiempo pero si tengo que ir en colectivo tardo más ya que de Derqui no hay un recorrido que pase por la sede, salvo el especial que sale bastante temprano ",,,,,,,,,Voy en auto (propio o me llevan/traen),,,,,,,,... me lleva mucho presupuesto,,,Necesito salir antes de casa
26/05/2026 10:25:18,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,... me lleva mucho presupuesto,291 o 203 o 176 y otro desde la terminal 501 o 276,,,,,,Voy en auto de un servicio pago remis/taxi/Uber/Didi,,,,,,,,,... me lleva mucho presupuesto,,Necesito salir antes de casa
26/05/2026 12:24:53,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... me lleva mucho presupuesto, ... no me reconocen el boleto universitario municipal","276, 520, 503",,,,,,Voy en tren,,,,,,"... la zona donde transito es peligrosa (robos, etc)",San Martín ,,,,"Tengo que conseguir trabajo, es muy caro viajar, Tengo que mudarme más cerca de las sedes, Necesito salir antes de casa"
26/05/2026 10:28:09,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,... me lleva mucho presupuesto,"741(jcp), 276 ",,,,,,Voy en auto (propio o me llevan/traen),,,,,,,,.. me lleva mucho tiempo,,,Necesito salir antes de casa
26/05/2026 10:29:38,Sede Pellegrini,Turno Mañana,Voy en colectivo,,,,"... el trayecto hasta la sede se me hace lejano, ... me lleva mucho tiempo, ... no respetan horarios, ... no tienen carteles claros, ... no respetan paradas/recorridos",520 de Derqui a la Uni ,,,,,,Voy en tren,,,,,,"... la zona donde transito es peligrosa (robos, etc)",De Derqui a Pilar ,,,,"Tengo que conseguir trabajo, es muy caro viajar, Voy a pedir prestado para poder seguir viniendo este mes, Tengo que comentarlo con mi coordinador/profes"
